t,ax,ay,az,gx,gy,gz
2822,-0.04,-0.29,9.82,-0.05,-0.00,-0.00
2838,-0.05,-0.27,9.81,-0.05,-0.00,0.00
2853,-0.06,-0.28,9.80,-0.05,-0.00,0.00
2869,-0.08,-0.28,9.82,-0.05,-0.00,0.00
2884,-0.07,-0.28,9.78,-0.05,-0.00,-0.00
2899,-0.07,-0.28,9.82,-0.05,0.00,-0.00
2915,-0.07,-0.28,9.81,-0.05,-0.00,-0.00
2930,-0.07,-0.29,9.79,-0.05,-0.00,-0.00
2946,-0.07,-0.28,9.80,-0.05,-0.00,0.00
2961,-0.06,-0.29,9.81,-0.05,-0.00,0.00
2977,-0.06,-0.28,9.81,-0.05,-0.00,0.00
2993,-0.09,-0.30,9.79,-0.05,-0.00,-0.00
3008,-0.07,-0.29,9.79,-0.04,-0.00,-0.00
3023,-0.09,-0.28,9.79,-0.04,-0.00,-0.00
3039,-0.25,-0.32,9.84,-0.04,-0.01,-0.01
3054,-0.26,-0.24,9.73,-0.03,-0.01,-0.01
3069,-0.38,-0.23,9.84,-0.04,-0.01,-0.00
3085,-0.47,-0.28,9.76,-0.05,-0.00,-0.01
3101,-0.40,-0.18,9.73,-0.05,0.00,0.00
3117,-0.29,-0.21,9.67,-0.06,0.02,0.01
3132,-0.15,-0.34,9.97,-0.08,0.03,-0.01
3147,-0.45,-0.36,9.51,-0.07,0.03,-0.03
3163,-0.72,-0.36,9.98,-0.06,0.04,-0.07
3178,-0.72,-0.20,9.71,-0.13,0.07,-0.08
3193,-0.65,-0.25,9.82,-0.18,0.11,-0.07
3210,-0.55,-0.52,9.86,-0.14,0.07,-0.05
3225,-0.40,-0.47,9.79,-0.05,0.02,-0.04
3240,-0.11,-0.41,9.84,0.01,-0.04,-0.03
3256,-0.20,-0.17,9.84,-0.01,-0.03,-0.02
3271,-0.71,-0.08,9.74,-0.04,-0.01,-0.01
3287,-0.91,-0.13,9.78,-0.05,-0.00,-0.00
3302,-1.12,-0.28,9.80,-0.05,-0.01,0.02
3317,-1.21,-0.32,9.71,-0.05,-0.01,0.05
3334,-1.06,-0.25,9.69,-0.03,-0.02,0.06
3349,-0.70,-0.27,9.84,-0.02,-0.02,0.08
3364,-0.56,-0.06,9.71,-0.04,-0.02,0.10
3380,-0.18,0.13,9.73,-0.05,0.00,0.09
3395,0.26,0.17,9.81,-0.07,0.02,0.05
3410,0.30,-0.33,9.89,-0.09,0.03,0.02
3426,-0.00,-0.59,9.86,-0.09,0.02,0.03
3441,0.07,-0.40,9.72,-0.05,-0.01,0.01
3458,-0.18,-0.82,9.78,-0.02,-0.02,-0.00
3473,-0.43,-0.76,9.81,-0.05,-0.01,0.02
3488,-0.53,-0.45,9.76,-0.10,0.03,0.07
3504,-0.03,0.22,10.01,-0.14,0.05,0.10
3519,-0.17,0.04,9.68,-0.12,0.03,0.04
3534,-0.36,-0.54,9.81,-0.04,-0.02,-0.02
3550,-0.34,-0.84,9.74,0.01,-0.05,-0.04
3566,-0.18,-0.90,9.93,-0.02,-0.04,-0.04
3581,-0.17,-0.73,9.70,-0.05,-0.01,-0.02
3597,-0.03,-0.54,9.83,-0.05,-0.02,-0.00
3612,0.10,-0.39,9.75,-0.06,-0.02,0.01
3628,0.47,-0.11,9.73,-0.06,-0.01,0.01
3643,1.04,0.55,10.03,-0.09,0.03,-0.08
3658,0.47,-0.35,9.75,-0.09,0.03,-0.21
3674,0.07,-0.68,9.76,-0.04,-0.02,-0.22
3690,-0.02,-0.56,9.96,-0.02,-0.03,-0.17
3705,-0.21,-0.57,9.71,-0.05,-0.02,-0.12
3721,-0.20,-0.51,9.80,-0.04,-0.02,-0.09
3736,-0.16,-0.37,9.82,-0.04,-0.04,-0.04
3751,-0.09,-0.22,9.74,-0.04,-0.03,-0.02
3767,-0.26,-0.29,9.87,-0.05,-0.03,-0.02
3782,-0.41,-0.18,9.63,-0.05,-0.02,0.00
3799,-0.27,-0.09,9.85,-0.06,-0.01,0.03
3814,-0.17,-0.19,9.79,-0.09,0.03,0.04
3829,-0.11,-0.45,9.78,-0.10,0.03,0.04
3845,0.14,-0.41,9.83,-0.07,-0.00,0.04
