t,ax,ay,az,gx,gy,gz
1290,-0.03,-0.24,9.78,-0.05,-0.00,0.00
1306,-0.03,-0.25,9.78,-0.05,-0.00,-0.00
1321,-0.02,-0.26,9.80,-0.05,-0.00,-0.00
1337,-0.01,-0.25,9.81,-0.05,-0.00,-0.00
1352,-0.03,-0.26,9.80,-0.05,-0.00,-0.00
1368,-0.02,-0.25,9.81,-0.05,-0.00,0.00
1383,-0.04,-0.27,9.82,-0.05,-0.00,0.00
1398,-0.03,-0.26,9.82,-0.05,-0.00,0.00
1414,-0.03,-0.26,9.82,-0.05,-0.00,-0.00
1429,-0.05,-0.25,9.81,-0.05,-0.00,0.00
1445,-0.03,-0.24,9.81,-0.05,-0.00,0.00
1461,-0.02,-0.24,9.77,-0.05,-0.00,-0.00
1476,-0.03,-0.23,9.82,-0.05,-0.00,0.00
1491,-0.02,-0.23,9.83,-0.05,-0.00,0.00
1507,-0.01,-0.25,9.77,-0.05,-0.00,-0.00
1522,-0.03,-0.26,9.79,-0.05,-0.00,0.00
1538,-0.02,-0.27,9.81,-0.05,-0.00,-0.00
1553,-0.02,-0.26,9.84,-0.05,-0.00,0.00
1569,-0.03,-0.26,9.83,-0.05,-0.00,0.00
1585,-0.04,-0.26,9.79,-0.05,0.00,0.00
1600,-0.02,-0.25,9.79,-0.05,-0.00,0.00
1615,-0.02,-0.24,9.81,-0.05,-0.00,-0.00
1631,-0.00,-0.27,9.79,-0.05,-0.00,0.00
1646,-0.02,-0.24,9.78,-0.05,-0.00,-0.00
1661,-0.03,-0.26,9.80,-0.05,-0.00,0.00
1677,-0.02,-0.26,9.79,-0.05,-0.00,0.00
1692,-0.02,-0.26,9.79,-0.05,-0.00,0.00
1708,-0.04,-0.26,9.79,-0.05,-0.00,0.00
1724,-0.02,-0.26,9.78,-0.05,-0.00,-0.00
1739,-0.01,-0.23,9.77,-0.05,-0.00,0.00
1755,-0.04,-0.25,9.78,-0.05,-0.00,-0.00
1770,-0.01,-0.27,9.81,-0.05,-0.00,-0.00
1785,-0.03,-0.26,9.81,-0.05,-0.00,-0.00
1801,-0.05,-0.27,9.80,-0.05,-0.00,-0.00
1816,-0.05,-0.24,9.81,-0.05,-0.00,0.00
1831,-0.01,-0.23,9.81,-0.05,-0.00,0.00
1848,-0.04,-0.25,9.78,-0.05,-0.00,0.00
1863,-0.04,-0.25,9.80,-0.05,-0.00,-0.00
1879,-0.05,-0.25,9.78,-0.05,-0.00,-0.00
1894,-0.04,-0.23,9.79,-0.05,-0.00,0.00
1909,-0.03,-0.23,9.80,-0.05,-0.00,-0.00
1925,-0.03,-0.26,9.79,-0.05,0.00,0.00
1940,-0.02,-0.26,9.80,-0.05,-0.00,0.00
1955,-0.03,-0.26,9.81,-0.05,-0.00,0.00
1971,-0.03,-0.26,9.79,-0.05,-0.00,-0.00
1986,-0.02,-0.25,9.79,-0.05,-0.00,0.00
2002,-0.02,-0.26,9.79,-0.05,-0.00,0.00
2018,-0.02,-0.25,9.80,-0.05,-0.00,0.00
2033,-0.02,-0.25,9.82,-0.05,-0.00,0.00
2049,-0.05,-0.25,9.84,-0.05,-0.00,0.00
2064,-0.03,-0.26,9.80,-0.05,-0.00,0.00
2079,-0.02,-0.24,9.79,-0.05,-0.00,0.00
2095,-0.02,-0.23,9.79,-0.05,-0.00,0.00
2110,-0.06,-0.25,9.81,-0.05,-0.00,-0.00
2125,-0.05,-0.25,9.79,-0.05,-0.00,0.00
2142,-0.04,-0.26,9.78,-0.05,-0.00,-0.00
2157,-0.04,-0.26,9.79,-0.05,-0.00,0.00
2172,-0.04,-0.25,9.83,-0.05,-0.00,0.00
2188,-0.04,-0.26,9.80,-0.05,-0.00,-0.00
2203,-0.04,-0.25,9.80,-0.05,-0.00,-0.00
2219,-0.02,-0.25,9.80,-0.05,-0.00,-0.00
2234,-0.03,-0.25,9.79,-0.05,-0.00,0.00
2249,-0.03,-0.26,9.80,-0.05,-0.00,0.00
2265,-0.03,-0.24,9.80,-0.05,-0.00,0.00
2281,-0.02,-0.23,9.80,-0.05,-0.00,-0.00
2296,-0.04,-0.23,9.81,-0.05,-0.00,0.00
2312,-0.04,-0.24,9.81,-0.05,-0.00,-0.00
2327,-0.06,-0.25,9.80,-0.05,-0.00,-0.00
2342,-0.07,-0.26,9.78,-0.05,-0.00,-0.00
2358,-0.04,-0.26,9.77,-0.05,-0.00,0.00
2373,-0.02,-0.24,9.79,-0.05,-0.00,0.00
2388,-0.06,-0.25,9.81,-0.05,-0.00,-0.00
2404,-0.03,-0.24,9.78,-0.05,-0.00,-0.00
2419,-0.03,-0.23,9.78,-0.05,-0.00,0.00
2436,-0.02,-0.24,9.79,-0.05,-0.00,0.00
2451,-0.04,-0.24,9.77,-0.05,-0.00,0.00
2466,-0.03,-0.23,9.80,-0.05,-0.00,-0.00
2482,-0.04,-0.26,9.80,-0.05,-0.00,-0.00
2497,-0.04,-0.24,9.81,-0.05,-0.00,0.00
2512,-0.05,-0.24,9.80,-0.05,-0.00,0.00
2528,-0.03,-0.26,9.80,-0.05,-0.00,0.00
2543,-0.03,-0.26,9.82,-0.05,-0.00,0.00
2558,-0.05,-0.25,9.82,-0.05,-0.00,0.00
2575,-0.03,-0.25,9.80,-0.05,-0.00,-0.00
2590,-0.03,-0.25,9.81,-0.05,-0.00,0.00
2606,0.00,-0.24,9.81,-0.05,-0.00,0.00
2621,-0.03,-0.24,9.82,-0.05,-0.00,-0.00
2636,-0.05,-0.24,9.82,-0.05,0.00,0.00
2652,-0.05,-0.26,9.80,-0.05,-0.00,-0.00
2667,-0.06,-0.26,9.81,-0.05,-0.00,-0.00
2682,-0.06,-0.26,9.81,-0.05,-0.00,-0.00
2698,-0.02,-0.26,9.82,-0.05,-0.00,0.00
2714,-0.03,-0.25,9.82,-0.05,-0.00,0.00
2729,-0.02,-0.25,9.80,-0.05,-0.00,0.00
2745,-0.02,-0.24,9.81,-0.05,0.00,-0.00
2760,-0.02,-0.23,9.80,-0.05,-0.00,0.00
2776,-0.02,-0.26,9.80,-0.05,-0.00,-0.00
2791,-0.02,-0.25,9.78,-0.05,-0.00,0.00
2806,-0.02,-0.24,9.82,-0.05,-0.00,0.00
2822,-0.03,-0.23,9.81,-0.05,-0.00,0.00
2837,-0.04,-0.26,9.81,-0.05,-0.00,0.00
2852,-0.02,-0.24,9.80,-0.05,-0.00,0.00
2869,-0.03,-0.25,9.83,-0.05,-0.00,-0.00
2884,-0.03,-0.24,9.78,-0.05,-0.00,-0.00
2899,-0.03,-0.25,9.79,-0.05,0.00,-0.00
2915,-0.04,-0.26,9.80,-0.05,-0.00,0.00
2930,-0.02,-0.24,9.82,-0.05,-0.00,0.00
2946,-0.02,-0.26,9.79,-0.05,-0.00,-0.00
2961,-0.03,-0.28,9.80,-0.05,-0.00,-0.00
2976,-0.06,-0.24,9.77,-0.05,-0.00,0.00
2992,-0.03,-0.26,9.81,-0.05,-0.00,-0.00
3008,-0.03,-0.23,9.80,-0.05,-0.00,0.00
3023,-0.03,-0.23,9.81,-0.05,-0.00,-0.00
3039,-0.06,-0.24,9.79,-0.05,-0.00,0.00
3054,-0.05,-0.24,9.81,-0.05,-0.00,-0.00
3069,-0.03,-0.24,9.79,-0.05,-0.00,-0.00
3085,-0.02,-0.24,9.79,-0.05,-0.00,0.00
3100,-0.02,-0.24,9.80,-0.05,-0.00,0.00
3116,-0.04,-0.24,9.79,-0.05,-0.00,0.00
3131,-0.03,-0.26,9.78,-0.05,-0.00,-0.00
3147,-0.02,-0.26,9.77,-0.05,-0.00,-0.00
3163,-0.06,-0.23,9.77,-0.05,-0.00,-0.00
3178,-0.05,-0.23,9.83,-0.05,-0.00,0.00
3193,-0.04,-0.26,9.79,-0.05,0.00,-0.00
3209,-0.03,-0.26,9.81,-0.05,-0.00,0.00
3224,-0.04,-0.23,9.83,-0.05,-0.00,0.00
3239,-0.02,-0.24,9.77,-0.05,-0.00,0.00
3255,-0.04,-0.26,9.81,-0.05,-0.00,-0.00
3270,-0.03,-0.26,9.82,-0.05,-0.00,-0.00
3287,-0.03,-0.23,9.79,-0.05,-0.00,-0.00
3302,-0.03,-0.26,9.81,-0.05,-0.00,-0.00
3317,-0.02,-0.25,9.80,-0.05,-0.00,-0.00
3333,-0.04,-0.26,9.79,-0.05,-0.00,0.00
3348,-0.04,-0.24,9.81,-0.05,-0.00,0.00
3363,-0.03,-0.24,9.81,-0.05,-0.00,0.00
3379,-0.00,-0.26,9.78,-0.05,-0.00,0.00
3394,-0.01,-0.24,9.83,-0.05,-0.00,-0.00
3409,-0.02,-0.24,9.82,-0.05,-0.00,0.00
3426,-0.03,-0.25,9.79,-0.05,-0.00,0.00
3441,-0.02,-0.24,9.83,-0.05,-0.00,0.00
3457,-0.03,-0.25,9.81,-0.05,-0.00,0.00
3472,-0.05,-0.23,9.77,-0.05,-0.00,0.00
3487,-0.04,-0.24,9.81,-0.05,-0.00,0.00
3503,-0.03,-0.26,9.81,-0.05,-0.00,-0.00
3518,-0.03,-0.25,9.80,-0.05,-0.00,0.00
3533,-0.04,-0.26,9.78,-0.05,-0.00,0.00
3549,-0.03,-0.27,9.78,-0.05,-0.00,0.00
3565,-0.04,-0.25,9.78,-0.05,-0.00,0.00
3580,-0.03,-0.26,9.81,-0.05,-0.00,0.00
3596,-0.03,-0.25,9.81,-0.05,-0.00,0.00
3611,-0.02,-0.26,9.81,-0.05,-0.00,0.00
3627,-0.02,-0.24,9.78,-0.05,-0.00,-0.00
3642,-0.04,-0.23,9.82,-0.05,-0.00,-0.00
3657,-0.06,-0.23,9.83,-0.05,-0.00,0.00
3673,-0.05,-0.26,9.79,-0.05,-0.00,0.00
3688,-0.03,-0.26,9.80,-0.05,0.00,0.00
3704,-0.02,-0.26,9.75,-0.05,-0.00,0.00
3720,-0.03,-0.27,9.77,-0.05,-0.00,0.00
3735,-0.03,-0.27,9.79,-0.05,-0.00,-0.00
3750,-0.00,-0.25,9.81,-0.05,-0.00,0.00
3766,-0.02,-0.25,9.77,-0.05,-0.00,-0.00
3781,-0.04,-0.25,9.78,-0.05,-0.00,-0.00
3796,-0.03,-0.25,9.77,-0.05,0.00,0.00
3812,-0.04,-0.27,9.79,-0.05,-0.00,0.00
3827,-0.03,-0.26,9.75,-0.05,-0.00,0.00
3843,-0.03,-0.25,9.79,-0.05,-0.00,0.00
